cycle,total_nodes,total_edges,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,structural_entropy,global_efficiency,tgc_raw,tgc_ema,elite_drift,newborn_survival,ms_per_cycle
1,10010,80017,0,0,0,0,0.999330,0.000449,0.118609,2.739265,0.314022,0.000000,0.000000,0.001063,1.0000,397.86
2,10020,80017,0,0,0,0,0.998674,0.000880,0.111366,2.743042,0.314242,0.000000,0.000000,0.000522,1.0000,239.91
3,10030,80021,2,2,0,2,0.998001,0.001333,0.104692,2.747099,0.311870,0.000199,0.000040,0.001046,1.0000,480.94
4,10040,80023,1,1,0,3,0.997475,0.001679,0.098657,2.750277,0.315886,0.000101,0.000052,0.003172,1.0000,333.93
5,10050,80035,6,6,0,9,0.996851,0.002112,0.093141,2.754293,0.308561,0.000587,0.000159,0.001755,1.0000,429.79
6,10060,80039,2,2,0,11,0.996604,0.002263,0.088454,2.757288,0.311263,0.000201,0.000167,0.001355,1.0000,125.30
7,10070,80047,4,4,0,15,0.996072,0.002618,0.084069,2.760280,0.308773,0.000395,0.000213,0.002337,1.0000,136.17
8,10080,80053,3,3,0,18,0.995683,0.002871,0.080339,2.762992,0.311971,0.000301,0.000231,0.001372,1.0000,124.23
9,10090,80061,4,4,0,22,0.995214,0.003187,0.077124,2.765804,0.311850,0.000397,0.000264,0.001747,1.0000,108.50
10,10100,80071,5,5,0,27,0.994822,0.003444,0.074516,2.768579,0.312926,0.000497,0.000310,0.003032,1.0000,104.48
11,10110,80075,2,2,0,29,0.994495,0.003658,0.072515,2.770919,0.310681,0.000196,0.000288,0.003473,1.0000,98.02
12,10120,80079,2,2,0,31,0.993961,0.004017,0.070949,2.773093,0.308539,0.000196,0.000269,0.003063,1.0000,141.33
13,10130,80097,9,9,0,40,0.993417,0.004389,0.069871,2.775815,0.305787,0.000880,0.000391,0.169303,1.0000,392.23
14,10140,80107,5,5,0,45,0.993379,0.004395,0.069665,2.778127,0.306189,0.000493,0.000412,0.169035,1.0000,211.12
15,10150,80113,3,3,0,48,0.993066,0.004594,0.069572,2.780231,0.310122,0.000298,0.000389,0.168875,1.0000,199.53
16,10160,80119,3,3,0,51,0.992623,0.004877,0.069469,2.782229,0.311064,0.000295,0.000370,0.168761,1.0000,204.41
17,10170,80125,3,3,0,54,0.992162,0.005183,0.069398,2.784158,0.307683,0.000291,0.000354,0.168548,1.0000,201.94
18,10180,80137,6,6,0,60,0.991694,0.005499,0.069343,2.786407,0.308167,0.000588,0.000401,0.168572,1.0000,209.83
19,10190,80149,6,6,0,66,0.991431,0.005675,0.069445,2.788496,0.309099,0.000588,0.000438,0.168226,1.0000,378.71
20,10200,80157,4,4,0,70,0.991174,0.005842,0.069523,2.790124,0.305594,0.000386,0.000428,0.168134,1.0000,211.78
21,10210,80163,3,3,0,73,0.990780,0.006105,0.069505,2.791865,0.308100,0.000294,0.000401,0.167973,1.0000,205.11
22,10220,80175,6,6,0,79,0.990316,0.006417,0.069445,2.793842,0.304135,0.000577,0.000436,0.167652,1.0000,192.43
23,10230,80185,5,5,0,84,0.990065,0.006578,0.069505,2.795448,0.311272,0.000496,0.000448,0.167656,1.0000,195.75
24,10240,80193,4,4,0,88,0.989752,0.006778,0.069547,2.797006,0.307498,0.000383,0.000435,0.167446,1.0000,204.07
25,10250,80195,1,1,0,89,0.989378,0.007015,0.069500,2.798394,0.309004,0.000097,0.000368,0.167407,1.0000,200.92
26,10260,80205,5,5,0,94,0.988792,0.007399,0.069290,2.799870,0.311797,0.000487,0.000392,0.167331,1.0000,375.86
27,10270,80213,4,4,0,98,0.988474,0.007606,0.069284,2.801390,0.307192,0.000381,0.000389,0.167160,1.0000,210.93
28,10280,80221,4,4,0,102,0.988082,0.007867,0.069236,2.802771,0.310283,0.000389,0.000389,0.167073,1.0000,213.17
29,10290,80227,3,3,0,105,0.987706,0.008107,0.069168,2.804090,0.310852,0.000289,0.000369,0.167065,1.0000,197.22
30,10300,80235,4,4,0,109,0.987249,0.008410,0.069086,2.805477,0.312377,0.000386,0.000373,0.166957,1.0000,208.12
31,10310,80247,6,6,0,115,0.986860,0.008668,0.069029,2.806942,0.310036,0.000572,0.000413,0.166868,1.0000,201.11
32,10320,80267,10,10,0,125,0.986599,0.008844,0.069066,2.808401,0.309718,0.000958,0.000522,0.166600,1.0000,345.88
33,10330,80279,6,6,0,131,0.986625,0.008816,0.069333,2.809734,0.309076,0.000573,0.000532,0.166461,1.0000,278.19
34,10340,80285,3,3,0,134,0.986384,0.008964,0.069362,2.811015,0.303594,0.000282,0.000482,0.166379,1.0000,293.72
35,10350,80303,9,9,0,143,0.985935,0.009259,0.069249,2.812416,0.309250,0.000874,0.000560,0.165950,1.0000,307.61
36,10360,80317,7,7,0,150,0.985887,0.009286,0.069419,2.813942,0.313217,0.000676,0.000584,0.165756,1.0000,286.34
37,10370,80327,5,5,0,155,0.985717,0.009387,0.069506,2.815383,0.313030,0.000476,0.000562,0.165732,1.0000,333.05
38,10380,80333,3,3,0,158,0.985411,0.009581,0.069474,2.816425,0.312217,0.000285,0.000507,0.165744,1.0000,462.19
39,10390,80355,11,11,0,169,0.984944,0.009899,0.069319,2.817735,0.308136,0.001033,0.000612,0.165380,1.0000,239.86
40,10400,80359,2,2,0,171,0.985041,0.009820,0.069566,2.818818,0.313348,0.000193,0.000528,0.165425,1.0000,286.11
41,10410,80369,5,5,0,176,0.984526,0.010158,0.069357,2.819952,0.309833,0.000469,0.000516,0.165267,1.0000,316.51
42,10420,80379,5,5,0,181,0.984212,0.010363,0.069300,2.820972,0.303389,0.000464,0.000506,0.165057,1.0000,311.88
43,10430,80391,6,6,0,187,0.983882,0.010588,0.069242,2.822109,0.306470,0.000573,0.000519,0.164828,1.0000,265.84
44,10440,80409,9,9,0,196,0.983627,0.010757,0.069190,2.823153,0.310369,0.000860,0.000587,0.164540,1.0000,274.24
45,10450,80413,2,2,0,198,0.983589,0.010773,0.069305,2.824137,0.308229,0.000187,0.000507,0.164387,1.0000,433.70
46,10460,80427,7,7,0,205,0.983091,0.011090,0.069055,2.825181,0.308297,0.000659,0.000538,0.164244,1.0000,246.20
47,10470,80437,5,5,0,210,0.982910,0.011208,0.069066,2.826162,0.310844,0.000474,0.000525,0.164010,1.0000,270.40
48,10480,80455,9,9,0,219,0.982593,0.011418,0.068967,2.827138,0.316172,0.000859,0.000592,0.163568,1.0000,702.96
49,10490,80471,8,8,0,227,0.982540,0.011453,0.069096,2.828235,0.309518,0.000736,0.000621,0.163340,1.0000,256.58
50,10500,80485,7,7,0,234,0.982427,0.011523,0.069120,2.829084,0.310336,0.000658,0.000628,0.162912,1.0000,341.58
51,10510,80497,6,6,0,240,0.982250,0.011635,0.069092,2.829777,0.303107,0.000549,0.000612,0.162786,1.0000,731.01
52,10520,80507,5,5,0,245,0.981997,0.011803,0.069032,2.830591,0.307481,0.000474,0.000585,0.162558,1.0000,223.83
53,10530,80515,4,4,0,249,0.981691,0.012000,0.068905,2.831350,0.316047,0.000383,0.000544,0.162382,1.0000,263.84
54,10540,80531,8,8,0,257,0.981323,0.012236,0.068723,2.832191,0.309970,0.000732,0.000582,0.162123,1.0000,425.32
55,10550,80549,9,9,0,266,0.981212,0.012303,0.068742,2.832875,0.314151,0.000849,0.000635,0.161733,1.0000,539.51
56,10560,80559,5,5,0,271,0.981158,0.012341,0.068789,2.833841,0.302370,0.000449,0.000598,0.161516,1.0000,390.26
57,10570,80577,9,9,0,280,0.980845,0.012546,0.068665,2.834618,0.305001,0.000843,0.000647,0.161094,1.0000,621.28
58,10580,80589,6,6,0,286,0.980788,0.012587,0.068710,2.835441,0.304906,0.000557,0.000629,0.161081,1.0000,225.54
59,10590,80601,6,6,0,292,0.980551,0.012739,0.068596,2.836046,0.308131,0.000562,0.000616,0.160722,1.0000,290.94
60,10600,80621,10,10,0,302,0.980302,0.012902,0.068458,2.836418,0.311697,0.000935,0.000680,0.160343,1.0000,718.80
61,10610,80647,13,13,0,315,0.980322,0.012886,0.068514,2.837047,0.306287,0.001183,0.000780,0.159760,1.0000,423.07
62,10620,80659,6,6,0,321,0.980544,0.012735,0.068741,2.837657,0.308439,0.000558,0.000736,0.159578,1.0000,217.91
63,10630,80683,12,12,0,333,0.980293,0.012902,0.068619,2.838495,0.304296,0.001095,0.000808,0.159192,1.0000,455.35
64,10640,80695,6,6,0,339,0.980447,0.012792,0.068769,2.838969,0.307567,0.000559,0.000758,0.159009,1.0000,212.87
65,10650,80709,7,7,0,346,0.980210,0.012944,0.068595,2.839565,0.309457,0.000649,0.000736,0.158671,1.0000,201.30
66,10660,80725,8,8,0,354,0.980027,0.013065,0.068491,2.840272,0.314130,0.000747,0.000738,0.158502,1.0000,327.37
67,10670,80749,12,12,0,366,0.979902,0.013153,0.068430,2.840883,0.312137,0.001097,0.000810,0.157966,1.0000,183.07
68,10680,80759,5,5,0,371,0.980058,0.013043,0.068541,2.841552,0.303721,0.000448,0.000737,0.157946,1.0000,194.22
69,10690,80779,10,10,0,381,0.979733,0.013269,0.068311,2.842047,0.305785,0.000923,0.000775,0.157512,1.0000,273.84
70,10700,80793,7,7,0,388,0.979748,0.013258,0.068308,2.842671,0.303783,0.000638,0.000747,0.157352,1.0000,454.45
71,10710,80813,10,10,0,398,0.979564,0.013380,0.068129,2.843413,0.307827,0.000927,0.000783,0.157024,1.0000,407.06
72,10720,80837,12,12,0,410,0.979581,0.013369,0.068097,2.843800,0.310683,0.001107,0.000848,0.156551,1.0000,586.57
73,10730,80851,7,7,0,417,0.979744,0.013251,0.068208,2.844364,0.306560,0.000632,0.000805,0.156307,1.0000,433.53
74,10740,80877,13,13,0,430,0.979564,0.013369,0.068039,2.844983,0.309673,0.001198,0.000883,0.155928,1.0000,349.02
75,10750,80889,6,6,0,436,0.979773,0.013233,0.068160,2.845425,0.313555,0.000554,0.000818,0.155764,1.0000,198.59
76,10760,80919,15,15,0,451,0.979532,0.013386,0.067932,2.845644,0.303911,0.001327,0.000919,0.155184,1.0000,229.41
77,10770,80929,5,5,0,456,0.979877,0.013156,0.068114,2.845843,0.309040,0.000462,0.000828,0.155032,1.0000,632.06
78,10780,80941,6,6,0,462,0.979575,0.013351,0.067841,2.846317,0.301934,0.000534,0.000769,0.154660,1.0000,501.55
79,10790,80959,9,9,0,471,0.979335,0.013506,0.067591,2.846953,0.304639,0.000825,0.000780,0.154565,1.0000,309.51
80,10800,80983,12,12,0,483,0.979279,0.013548,0.067485,2.847261,0.308995,0.001103,0.000845,0.153966,1.0000,336.02
81,10810,81003,10,10,0,493,0.979422,0.013456,0.067522,2.847492,0.307399,0.000902,0.000856,0.153646,1.0000,213.47
82,10820,81015,6,6,0,499,0.979461,0.013416,0.067454,2.847979,0.306597,0.000542,0.000793,0.153334,1.0000,572.41
83,10830,81029,7,7,0,506,0.979225,0.013568,0.067190,2.848234,0.306964,0.000634,0.000762,0.153047,1.0000,365.77
84,10840,81043,7,7,0,513,0.979065,0.013662,0.066975,2.848607,0.311883,0.000642,0.000738,0.152649,1.0000,663.55
85,10850,81065,11,11,0,524,0.978903,0.013758,0.066778,2.848736,0.307670,0.000980,0.000786,0.152342,1.0000,262.31
86,10860,81075,5,5,0,529,0.978979,0.013711,0.066743,2.849012,0.311749,0.000456,0.000720,0.152130,1.0000,279.46
87,10870,81089,7,7,0,536,0.978673,0.013915,0.066403,2.849307,0.302529,0.000613,0.000699,0.152038,1.0000,525.58
88,10880,81097,4,4,0,540,0.978507,0.014015,0.066152,2.849724,0.298849,0.000356,0.000630,0.152036,1.0000,456.56
89,10890,81109,6,6,0,546,0.978139,0.014257,0.065831,2.850106,0.304120,0.000548,0.000614,0.152012,1.0000,249.59
90,10900,81137,14,14,0,560,0.977908,0.014405,0.065579,2.850099,0.308492,0.001272,0.000746,0.151542,1.0000,222.13
91,10910,81159,11,11,0,571,0.978189,0.014212,0.065667,2.850279,0.299622,0.000960,0.000788,0.151194,1.0000,196.25
92,10920,81181,11,11,0,582,0.978280,0.014149,0.065613,2.850384,0.304102,0.000999,0.000831,0.150712,1.0000,700.54
93,10930,81187,3,3,0,585,0.978361,0.014093,0.065562,2.850724,0.308393,0.000272,0.000719,0.150498,1.0000,295.91
94,10940,81205,9,9,0,594,0.977933,0.014374,0.065153,2.850726,0.301829,0.000789,0.000733,0.150281,1.0000,294.74
95,10950,81233,14,14,0,608,0.977893,0.014395,0.064976,2.850637,0.304396,0.001260,0.000838,0.149984,1.0000,428.09
96,10960,81253,10,10,0,618,0.978165,0.014213,0.065058,2.850397,0.302100,0.000886,0.000848,0.149835,1.0000,1368.00
97,10970,81279,13,13,0,631,0.978186,0.014197,0.064935,2.850265,0.306487,0.001174,0.000913,0.149422,1.0000,395.91
98,10980,81299,10,10,0,641,0.978399,0.014054,0.064964,2.850311,0.310537,0.000902,0.000911,0.149032,1.0000,289.30
99,10990,81311,6,6,0,647,0.978415,0.014044,0.064827,2.850309,0.311576,0.000536,0.000836,0.148882,1.0000,619.12
100,11000,81323,6,6,0,653,0.978180,0.014192,0.064524,2.850673,0.308266,0.000529,0.000774,0.148856,1.0000,267.33
