cycle,total_nodes,total_edges,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,structural_entropy,global_efficiency,tgc_raw,tgc_ema,elite_drift,newborn_survival,ms_per_cycle
1,10010,80017,0,0,0,0,0.999330,0.000449,0.118585,2.739265,0.313494,0.000000,0.000000,0.001222,1.0000,246.98
2,10020,80017,1,1,0,1,0.998674,0.000880,0.111338,2.743042,0.310228,0.000099,0.000020,0.000728,1.0000,242.45
3,10030,80017,1,1,0,2,0.998052,0.001287,0.104706,2.746290,0.315450,0.000102,0.000036,0.002636,1.0000,289.69
4,10040,80017,1,1,0,3,0.997432,0.001692,0.098625,2.749194,0.310170,0.000098,0.000049,0.000945,1.0000,257.34
5,10050,80017,0,0,0,3,0.996817,0.002088,0.093087,2.751842,0.305822,0.000000,0.000039,0.000456,1.0000,186.21
6,10060,80017,5,5,0,8,0.996128,0.002564,0.088059,2.754285,0.314061,0.000510,0.000133,0.002304,1.0000,180.99
7,10070,80017,3,3,0,11,0.995696,0.002793,0.083673,2.756558,0.313904,0.000298,0.000166,0.005051,1.0000,316.26
8,10080,80017,5,5,0,16,0.995163,0.003114,0.079772,2.758686,0.312718,0.000494,0.000232,0.003986,1.0000,107.56
9,10090,80017,1,1,0,17,0.994741,0.003333,0.076493,2.760686,0.316992,0.000100,0.000205,0.004224,1.0000,132.34
10,10100,80017,6,6,0,23,0.994123,0.003731,0.073678,2.762572,0.307220,0.000575,0.000279,0.004646,1.0000,211.82
11,10110,80017,1,1,0,24,0.993736,0.003922,0.071507,2.764358,0.311683,0.000100,0.000243,0.005835,1.0000,223.66
12,10120,80017,2,2,0,26,0.993120,0.004315,0.069835,2.766050,0.308539,0.000195,0.000234,0.004545,1.0000,243.28
13,10130,80017,4,4,0,30,0.992535,0.004686,0.068714,2.767658,0.311434,0.000397,0.000266,0.170801,1.0000,186.97
14,10140,80017,6,6,0,36,0.992044,0.004970,0.068147,2.769187,0.310413,0.000587,0.000330,0.170879,1.0000,226.57
15,10150,80017,4,4,0,40,0.991647,0.005168,0.067900,2.770645,0.313080,0.000395,0.000343,0.170868,1.0000,232.27
16,10160,80017,2,2,0,42,0.991186,0.005416,0.067746,2.772034,0.311198,0.000195,0.000314,0.170815,1.0000,221.43
17,10170,80017,2,2,0,44,0.990603,0.005783,0.067578,2.773360,0.307939,0.000193,0.000290,0.170934,1.0000,234.45
18,10180,80017,4,4,0,48,0.990012,0.006160,0.067372,2.774627,0.310862,0.000393,0.000310,0.171051,1.0000,251.96
19,10190,80017,5,5,0,53,0.989515,0.006449,0.067221,2.775838,0.307021,0.000481,0.000345,0.171151,1.0000,399.63
20,10200,80017,3,3,0,56,0.989086,0.006669,0.067093,2.776996,0.307640,0.000292,0.000334,0.171168,1.0000,206.14
