cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
1,4964,509,463,0,509,0.466788,0.071604,0.183127,0.013061,0.002956,1.0000
2,4968,109,103,0,618,0.532766,0.091209,0.232012,0.012457,0.003684,1.0000
3,4975,84,81,0,702,0.545554,0.094941,0.237202,0.011384,0.002768,1.0000
4,4982,83,80,0,785,0.555202,0.097705,0.240255,0.010644,0.002005,1.0000
5,4990,74,72,0,859,0.564739,0.100233,0.243609,0.009895,0.001485,1.0000
6,4997,83,80,0,942,0.573168,0.102360,0.246362,0.009679,0.001795,1.0000
7,5005,71,69,0,1013,0.582858,0.104437,0.250442,0.009186,0.001748,1.0000
8,5014,64,63,0,1077,0.591025,0.106094,0.253580,0.008658,0.001367,1.0000
9,5022,70,68,0,1147,0.598370,0.107477,0.256357,0.008491,0.001045,1.0000
10,5031,59,58,0,1206,0.606514,0.108773,0.260072,0.008042,0.000393,1.0000
11,5039,72,70,0,1278,0.613300,0.109770,0.262824,0.008185,0.001515,1.0000
12,5049,54,54,0,1332,0.621941,0.110675,0.267357,0.007725,0.001347,1.0000
13,5058,64,63,0,1396,0.628294,0.111297,0.270232,0.007755,0.000854,1.0000
14,5069,42,43,0,1438,0.636031,0.111805,0.274481,0.007047,0.001148,1.0000
15,5081,31,33,0,1469,0.640896,0.112133,0.276372,0.006182,0.001233,1.0000
16,5093,34,36,0,1503,0.644295,0.112404,0.277064,0.005694,0.000453,1.0000
17,5104,38,39,0,1541,0.648089,0.112651,0.277900,0.005471,0.000534,1.0000
18,5114,50,50,0,1591,0.652341,0.112866,0.279160,0.005743,0.000969,1.0000
19,5125,40,41,0,1631,0.658155,0.113010,0.281616,0.005600,0.001523,1.0000
20,5137,29,31,0,1660,0.662630,0.113138,0.282826,0.005119,0.001931,1.0000
21,5148,43,44,0,1703,0.665679,0.113261,0.282808,0.005291,0.002437,1.0000
22,5160,34,36,0,1737,0.670557,0.113284,0.284297,0.005107,0.001302,1.0000
23,5170,46,46,0,1783,0.674286,0.113301,0.284681,0.005375,0.002138,1.0000
24,5181,40,41,0,1823,0.679464,0.113219,0.286282,0.005375,0.001593,1.0000
