cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
1,4964,509,463,0,509,0.466788,0.071604,0.183127,0.013061,0.002750,1.0000
2,4968,109,103,0,618,0.532775,0.091217,0.231979,0.012457,0.003071,1.0000
3,4975,84,81,0,702,0.545564,0.094950,0.237174,0.011384,0.001721,1.0000
4,4982,83,80,0,785,0.555215,0.097716,0.240209,0.010644,0.001263,1.0000
5,4990,74,72,0,859,0.564754,0.100245,0.243593,0.009895,0.000690,1.0000
6,4997,83,80,0,942,0.573183,0.102372,0.246353,0.009680,0.001656,1.0000
7,5005,71,69,0,1013,0.582875,0.104451,0.250454,0.009186,0.002007,1.0000
8,5014,64,63,0,1077,0.591043,0.106109,0.253566,0.008658,0.001713,1.0000
9,5022,70,68,0,1147,0.598390,0.107492,0.256353,0.008492,0.000880,1.0000
10,5031,59,58,0,1206,0.606535,0.108789,0.260042,0.008042,0.001339,1.0000
11,5039,72,70,0,1278,0.613321,0.109786,0.262798,0.008185,0.002055,1.0000
12,5049,54,54,0,1332,0.621965,0.110693,0.267351,0.007725,0.001678,1.0000
13,5058,64,63,0,1396,0.628319,0.111315,0.270217,0.007756,0.001162,1.0000
14,5069,42,43,0,1438,0.636058,0.111824,0.274452,0.007048,0.000930,1.0000
15,5081,31,33,0,1469,0.640922,0.112152,0.276320,0.006182,0.000463,1.0000
16,5093,34,36,0,1503,0.644322,0.112423,0.277004,0.005694,0.000801,1.0000
17,5104,38,39,0,1541,0.648116,0.112671,0.277855,0.005471,0.000642,1.0000
18,5114,50,50,0,1591,0.652369,0.112886,0.279114,0.005743,0.000830,1.0000
19,5125,40,41,0,1631,0.658184,0.113030,0.281565,0.005600,0.001237,1.0000
20,5137,29,31,0,1660,0.662659,0.113158,0.282784,0.005120,0.001746,1.0000
21,5148,43,44,0,1703,0.665709,0.113282,0.282775,0.005291,0.001414,1.0000
22,5160,34,36,0,1737,0.670588,0.113305,0.284255,0.005107,0.001298,1.0000
23,5170,46,46,0,1783,0.674319,0.113322,0.284645,0.005375,0.001207,1.0000
24,5181,40,41,0,1823,0.679498,0.113240,0.286241,0.005376,0.001057,1.0000
25,5192,43,44,0,1866,0.683911,0.113159,0.287147,0.005502,0.001684,1.0000
26,5202,50,50,0,1916,0.688721,0.112996,0.288306,0.005837,0.001740,1.0000
27,5214,34,36,0,1950,0.694403,0.112701,0.290117,0.005524,0.001180,1.0000
28,5225,39,40,0,1989,0.698035,0.112549,0.290106,0.005470,0.001158,1.0000
29,5236,44,45,0,2033,0.702315,0.112265,0.290605,0.005640,0.001366,1.0000
30,5248,34,36,0,2067,0.707209,0.111896,0.291592,0.005403,0.001173,1.0000
31,5258,54,54,0,2121,0.710815,0.111635,0.291396,0.005972,0.001327,1.0000
32,5270,31,33,0,2152,0.716945,0.111009,0.293161,0.005527,0.001468,1.0000
33,5281,43,44,0,2195,0.720112,0.110740,0.292434,0.005669,0.002483,1.0000
34,5291,54,54,0,2249,0.724772,0.110242,0.292948,0.006188,0.002023,1.0000
35,5302,40,41,0,2289,0.730855,0.109440,0.294519,0.006027,0.002767,1.0000
36,5313,42,43,0,2331,0.735100,0.108901,0.294499,0.006004,0.002475,1.0000
37,5324,40,41,0,2371,0.739629,0.108245,0.294590,0.005911,0.002349,1.0000
38,5334,50,50,0,2421,0.743875,0.107604,0.294407,0.006230,0.000990,1.0000
39,5345,38,39,0,2459,0.749363,0.106678,0.295146,0.006001,0.001094,1.0000
40,5356,36,37,0,2495,0.753285,0.106037,0.294594,0.005762,0.000974,1.0000
41,5367,36,37,0,2531,0.756960,0.105397,0.293706,0.005599,0.000970,1.0000
42,5378,42,43,0,2573,0.760623,0.104732,0.292879,0.005744,0.001381,1.0000
43,5390,30,32,0,2603,0.765041,0.103870,0.292544,0.005383,0.001637,1.0000
44,5399,56,55,0,2659,0.767943,0.103325,0.290956,0.006115,0.002462,1.0000
45,5410,45,46,0,2704,0.774052,0.101976,0.291861,0.006255,0.003700,1.0000
46,5421,44,45,0,2748,0.778810,0.100901,0.291664,0.006318,0.003803,1.0000
47,5432,45,46,0,2793,0.783431,0.099811,0.291218,0.006413,0.002736,1.0000
48,5443,43,44,0,2836,0.788177,0.098631,0.290787,0.006400,0.002318,1.0000
49,5454,37,38,0,2873,0.792669,0.097465,0.290050,0.006137,0.002602,1.0000
50,5465,44,45,0,2917,0.796341,0.096522,0.288707,0.006263,0.001298,1.0000
51,5476,41,42,0,2958,0.800937,0.095245,0.287975,0.006227,0.001569,1.0000
52,5488,32,34,0,2990,0.805144,0.094037,0.286861,0.005855,0.003251,1.0000
53,5500,35,37,0,3025,0.808185,0.093194,0.284816,0.005730,0.003671,1.0000
54,5511,37,38,0,3062,0.811631,0.092173,0.282921,0.005690,0.002995,1.0000
55,5523,33,35,0,3095,0.815261,0.091081,0.281186,0.005533,0.002367,1.0000
56,5533,46,46,0,3141,0.818400,0.090131,0.279078,0.005914,0.002410,1.0000
57,5544,39,40,0,3180,0.823148,0.088572,0.278063,0.005922,0.003042,1.0000
58,5555,43,44,0,3223,0.827000,0.087307,0.276391,0.006110,0.002911,1.0000
59,5566,43,44,0,3266,0.831322,0.085849,0.275011,0.006249,0.002961,1.0000
60,5578,35,37,0,3301,0.835651,0.084334,0.273607,0.006037,0.002463,1.0000
61,5588,47,47,0,3348,0.838970,0.083182,0.271339,0.006343,0.001953,1.0000
62,5600,35,37,0,3383,0.843759,0.081409,0.270083,0.006112,0.002260,1.0000
63,5612,33,35,0,3416,0.847115,0.080144,0.267669,0.005864,0.002138,1.0000
64,5624,30,32,0,3446,0.850171,0.079001,0.265034,0.005556,0.002468,1.0000
65,5637,23,26,0,3469,0.852864,0.077970,0.262172,0.005069,0.001586,1.0000
66,5649,31,33,0,3500,0.854719,0.077262,0.258521,0.005046,0.002643,1.0000
67,5660,40,41,0,3540,0.857533,0.076146,0.255616,0.005396,0.002509,1.0000
68,5671,37,38,0,3577,0.861394,0.074583,0.253469,0.005509,0.002780,1.0000
69,5681,32,32,0,3609,0.864869,0.073158,0.250916,0.005318,0.002917,1.0000
70,5691,41,41,0,3650,0.867679,0.072011,0.247937,0.005598,0.003063,1.0000
71,5701,32,32,0,3682,0.871612,0.070328,0.245915,0.005386,0.002207,1.0000
72,5711,38,38,0,3720,0.874415,0.069137,0.243094,0.005516,0.002168,1.0000
73,5721,29,29,0,3749,0.877956,0.067582,0.241010,0.005196,0.001277,1.0000
74,5731,40,40,0,3789,0.880404,0.066500,0.238230,0.005481,0.001977,1.0000
75,5741,24,24,0,3813,0.884195,0.064765,0.236612,0.004945,0.002209,1.0000
76,5751,39,39,0,3852,0.886039,0.063924,0.233674,0.005264,0.003227,1.0000
77,5761,43,43,0,3895,0.889652,0.062259,0.232226,0.005677,0.003615,1.0000
78,5771,29,29,0,3924,0.893734,0.060334,0.231148,0.005321,0.003803,1.0000
79,5781,29,29,0,3953,0.896140,0.059192,0.228882,0.005074,0.003645,1.0000
80,5791,29,29,0,3982,0.898552,0.058025,0.226701,0.004901,0.003191,1.0000
81,5801,27,27,0,4009,0.900929,0.056881,0.224580,0.004689,0.002607,1.0000
82,5811,37,37,0,4046,0.903096,0.055808,0.222294,0.005007,0.002678,1.0000
